,time,open,high,low,close,tick_volume,spread,real_volume
0,1675236060,1.08683,1.08687,1.08678,1.08678,12,7,0
1,1675236120,1.08678,1.08683,1.08677,1.08682,10,9,0
2,1675236180,1.08682,1.08683,1.0868,1.08681,11,10,0
3,1675236240,1.08681,1.08682,1.08681,1.08682,2,10,0
4,1675236300,1.08682,1.08683,1.08679,1.08682,8,10,0
5,1675236360,1.08682,1.08682,1.08676,1.08677,11,8,0
6,1675236420,1.08677,1.08684,1.08677,1.08677,27,8,0
7,1675236480,1.08677,1.08678,1.08662,1.08664,24,6,0
8,1675236540,1.08663,1.08666,1.08659,1.08664,24,8,0
9,1675236600,1.08664,1.08671,1.0866,1.0866500000000001,21,9,0
10,1675236660,1.0866500000000001,1.08671,1.08664,1.08671,13,9,0
11,1675236720,1.08671,1.08676,1.0867,1.08674,12,7,0
12,1675236780,1.08674,1.08683,1.08673,1.08681,13,9,0
13,1675236840,1.08681,1.08688,1.08681,1.08688,13,10,0
14,1675236900,1.08688,1.08688,1.08683,1.08686,11,8,0
15,1675236960,1.08686,1.08687,1.08677,1.08683,21,8,0
16,1675237020,1.08683,1.08685,1.08682,1.08684,10,9,0
17,1675237080,1.08684,1.08684,1.08677,1.08677,16,9,0
18,1675237140,1.08677,1.08678,1.08673,1.08678,13,9,0
19,1675237200,1.08678,1.0868,1.08671,1.08672,14,8,0
20,1675237260,1.0868,1.08692,1.0868,1.08688,20,8,0
21,1675237320,1.08688,1.087,1.08687,1.087,14,8,0
22,1675237380,1.087,1.08701,1.08695,1.08699,14,8,0
23,1675237440,1.08698,1.08699,1.08693,1.08694,13,6,0
24,1675237500,1.08695,1.08699,1.08692,1.08694,19,8,0
25,1675237560,1.08694,1.08694,1.08688,1.08694,20,8,0
26,1675237620,1.08694,1.08705,1.08694,1.08705,10,5,0
27,1675237680,1.08705,1.08725,1.08705,1.08719,23,6,0
28,1675237740,1.08719,1.08735,1.08719,1.08734,15,6,0
29,1675237800,1.08735,1.08743,1.0872600000000001,1.08727,34,5,0
30,1675237860,1.08727,1.0873,1.08724,1.08724,17,9,0
31,1675237920,1.08724,1.08729,1.08723,1.08724,15,6,0
32,1675237980,1.08724,1.0873,1.08723,1.08725,19,9,0
33,1675238040,1.08725,1.08725,1.08713,1.08723,25,5,0
34,1675238100,1.08723,1.08727,1.08722,1.08725,15,9,0
35,1675238160,1.08723,1.08723,1.08718,1.08718,10,8,0
36,1675238220,1.08718,1.0872,1.08715,1.08717,22,9,0
37,1675238280,1.08717,1.08717,1.08707,1.08707,42,8,0
38,1675238340,1.08706,1.0872,1.08706,1.08711,33,6,0
39,1675238400,1.0871,1.08714,1.08702,1.08714,33,8,0
40,1675238460,1.08714,1.08728,1.08713,1.08727,40,7,0
41,1675238520,1.08729,1.08734,1.08723,1.08724,36,7,0
42,1675238580,1.08724,1.08728,1.08722,1.08728,22,8,0
43,1675238640,1.08729,1.08735,1.08728,1.08731,19,6,0
44,1675238700,1.08731,1.08743,1.08731,1.08743,13,2,0
45,1675238760,1.08743,1.08743,1.08739,1.08742,18,9,0
46,1675238820,1.08742,1.08749,1.0873599999999999,1.08738,27,9,0
47,1675238880,1.08739,1.08739,1.08717,1.08723,34,7,0
48,1675238940,1.08723,1.08723,1.08719,1.08723,15,9,0
49,1675239000,1.08723,1.08723,1.08719,1.08723,8,7,0
50,1675239060,1.08723,1.08724,1.08716,1.08719,13,7,0
51,1675239120,1.08719,1.08729,1.08711,1.08729,30,8,0
52,1675239180,1.08731,1.08731,1.08718,1.08718,16,4,0
53,1675239240,1.08718,1.0872,1.08716,1.0872,7,9,0
54,1675239300,1.0872,1.0872,1.08707,1.08713,33,5,0
55,1675239360,1.08712,1.08718,1.08712,1.08718,19,8,0
56,1675239420,1.08719,1.08722,1.08713,1.08713,22,7,0
57,1675239480,1.08713,1.08713,1.08707,1.08713,16,8,0
58,1675239540,1.08713,1.08723,1.08712,1.08723,14,7,0
59,1675239600,1.08723,1.0872600000000001,1.08717,1.08723,31,7,0
60,1675239660,1.08723,1.08729,1.08723,1.08727,15,9,0
61,1675239720,1.08728,1.08728,1.08724,1.08727,17,9,0
62,1675239780,1.08727,1.08733,1.08724,1.08732,22,8,0
63,1675239840,1.08732,1.08733,1.08728,1.08729,27,10,0
64,1675239900,1.08729,1.0873,1.0872600000000001,1.0872600000000001,23,9,0
65,1675239960,1.0872600000000001,1.08727,1.08722,1.08727,19,9,0
66,1675240020,1.08727,1.08732,1.08727,1.08729,14,8,0
67,1675240080,1.08728,1.08733,1.08728,1.08732,6,7,0
68,1675240140,1.08732,1.08732,1.0872,1.08724,34,9,0
69,1675240200,1.08724,1.08744,1.08723,1.08743,21,6,0
70,1675240260,1.08746,1.08749,1.08744,1.08747,17,9,0
71,1675240320,1.08747,1.08762,1.08747,1.08754,48,4,0
72,1675240380,1.08754,1.08759,1.08751,1.08755,37,8,0
73,1675240440,1.08755,1.08758,1.08752,1.08754,25,9,0
74,1675240500,1.08754,1.08761,1.08753,1.08755,23,10,0
75,1675240560,1.08756,1.08759,1.08752,1.08757,21,7,0
76,1675240620,1.08757,1.08757,1.08745,1.08745,33,9,0
77,1675240680,1.08745,1.08757,1.08745,1.08753,24,9,0
78,1675240740,1.08753,1.08759,1.08752,1.08758,30,8,0
79,1675240800,1.08761,1.08763,1.08748,1.08748,20,7,0
80,1675240860,1.08747,1.08747,1.08731,1.08732,22,7,0
81,1675240920,1.08731,1.08737,1.08714,1.08716,32,3,0
82,1675240980,1.08716,1.08729,1.08716,1.08716,31,7,0
83,1675241040,1.08716,1.08717,1.08708,1.08708,16,9,0
84,1675241100,1.08708,1.08734,1.08706,1.08723,40,8,0
85,1675241160,1.08723,1.08723,1.08707,1.08707,22,8,0
86,1675241220,1.08707,1.08707,1.08697,1.08698,19,7,0
87,1675241280,1.08698,1.08718,1.08697,1.08718,24,8,0
88,1675241340,1.08719,1.08719,1.0869,1.08692,38,4,0
89,1675241400,1.08692,1.08701,1.08686,1.08686,27,8,0
90,1675241460,1.08686,1.08687,1.08667,1.08667,30,10,0
91,1675241520,1.08667,1.08687,1.08664,1.0867,41,6,0
92,1675241580,1.0867,1.08672,1.08657,1.08669,64,7,0
93,1675241640,1.08668,1.08678,1.08652,1.08677,48,8,0
94,1675241700,1.08677,1.08702,1.08673,1.08694,42,7,0
95,1675241760,1.08694,1.08699,1.08685,1.08699,31,8,0
96,1675241820,1.08699,1.08703,1.08686,1.08686,31,8,0
97,1675241880,1.08686,1.08686,1.08667,1.08676,42,8,0
98,1675241940,1.08676,1.08689,1.08671,1.08689,39,8,0
99,1675242000,1.08691,1.08701,1.0867499999999999,1.08676,75,8,0
100,1675242060,1.08676,1.08698,1.08676,1.08693,62,5,0
101,1675242120,1.08693,1.08713,1.08692,1.08702,47,7,0
102,1675242180,1.08702,1.08717,1.08702,1.08711,68,7,0
103,1675242240,1.08711,1.08729,1.08709,1.08722,56,7,0
104,1675242300,1.08723,1.08739,1.08719,1.08739,66,8,0
105,1675242360,1.08739,1.08749,1.08737,1.08743,67,7,0
106,1675242420,1.08743,1.08744,1.08729,1.08732,70,8,0
107,1675242480,1.08732,1.08735,1.08725,1.0872600000000001,51,7,0
108,1675242540,1.0872600000000001,1.08729,1.0872,1.08723,62,8,0
109,1675242600,1.08724,1.08724,1.08714,1.08723,32,8,0
110,1675242660,1.08723,1.08723,1.08707,1.08718,60,7,0
111,1675242720,1.08718,1.08721,1.08708,1.08711,54,5,0
112,1675242780,1.08711,1.08719,1.08706,1.08717,77,6,0
113,1675242840,1.08717,1.08723,1.08713,1.08718,58,8,0
114,1675242900,1.08718,1.08728,1.08718,1.08728,42,9,0
115,1675242960,1.08728,1.08758,1.08728,1.08748,67,7,0
116,1675243020,1.08748,1.0879,1.08742,1.08783,65,1,0
117,1675243080,1.08785,1.08785,1.08762,1.08763,64,7,0
118,1675243140,1.08762,1.08778,1.08762,1.08773,61,6,0
119,1675243200,1.08773,1.08788,1.08768,1.08778,56,5,0
120,1675243260,1.08778,1.08797,1.08772,1.08772,50,6,0
121,1675243320,1.08771,1.08774,1.08765,1.08766,46,6,0
122,1675243380,1.08766,1.08769,1.0876,1.08767,43,7,0
123,1675243440,1.08766,1.0878,1.08762,1.08768,71,6,0
124,1675243500,1.08768,1.08777,1.08761,1.08761,64,7,0
125,1675243560,1.08761,1.08776,1.08754,1.08773,34,4,0
126,1675243620,1.08773,1.08774,1.08752,1.08767,55,6,0
127,1675243680,1.08767,1.08772,1.08757,1.08763,71,7,0
128,1675243740,1.08763,1.08774,1.08756,1.0877,51,8,0
129,1675243800,1.08771,1.08778,1.08755,1.08755,44,6,0
130,1675243860,1.08755,1.08758,1.08749,1.08752,58,8,0
131,1675243920,1.08758,1.08763,1.08745,1.08757,45,7,0
132,1675243980,1.08757,1.08757,1.08734,1.08752,42,7,0
133,1675244040,1.08752,1.08753,1.08729,1.08733,50,5,0
134,1675244100,1.08733,1.08739,1.08714,1.08724,57,5,0
135,1675244160,1.08724,1.0873599999999999,1.08722,1.08728,42,4,0
136,1675244220,1.08728,1.08728,1.0867,1.08687,57,5,0
137,1675244280,1.08687,1.08701,1.08687,1.08696,48,7,0
138,1675244340,1.08696,1.08721,1.08696,1.08716,51,8,0
139,1675244400,1.08715,1.08716,1.08703,1.08708,35,7,0
140,1675244460,1.08708,1.08721,1.08703,1.08717,35,8,0
141,1675244520,1.08717,1.0872,1.08707,1.08708,39,8,0
142,1675244580,1.08708,1.0871,1.08689,1.08689,36,6,0
143,1675244640,1.08689,1.08693,1.08678,1.08688,60,5,0
144,1675244700,1.08689,1.08707,1.08689,1.08703,60,6,0
145,1675244760,1.08703,1.08708,1.08696,1.08697,27,6,0
146,1675244820,1.08697,1.08697,1.08677,1.08681,36,8,0
147,1675244880,1.08681,1.08689,1.08678,1.08682,33,5,0
148,1675244940,1.08682,1.08686,1.08682,1.08683,38,8,0
149,1675245000,1.08682,1.08683,1.08662,1.08666,44,5,0
150,1675245060,1.08666,1.08672,1.08663,1.08669,54,5,0
151,1675245120,1.08669,1.08697,1.08669,1.08697,78,6,0
152,1675245180,1.08696,1.087,1.08691,1.08692,54,9,0
153,1675245240,1.08692,1.08729,1.08692,1.08722,106,8,0
154,1675245300,1.08722,1.08779,1.08722,1.08772,114,5,0
155,1675245360,1.08772,1.08783,1.0876,1.08781,77,4,0
156,1675245420,1.08781,1.08832,1.08767,1.08804,132,0,0
157,1675245480,1.08799,1.08824,1.08791,1.08811,143,4,0
158,1675245540,1.08811,1.08815,1.08794,1.08795,135,1,0
159,1675245600,1.08795,1.08825,1.08766,1.08792,212,2,0
160,1675245660,1.08792,1.08832,1.08778,1.08786,172,5,0
161,1675245720,1.08786,1.08797,1.08777,1.08783,122,5,0
162,1675245780,1.08783,1.08788,1.08768,1.08784,80,6,0
163,1675245840,1.08784,1.08789,1.08773,1.08785,60,4,0
164,1675245900,1.08785,1.08794,1.08779,1.08788,66,6,0
165,1675245960,1.08788,1.08792,1.08775,1.08781,57,6,0
166,1675246020,1.08781,1.08781,1.08764,1.08765,62,6,0
167,1675246080,1.08765,1.08765,1.08732,1.08732,88,5,0
168,1675246140,1.08732,1.08753,1.08728,1.08751,69,5,0
169,1675246200,1.08751,1.08769,1.08742,1.08748,68,4,0
170,1675246260,1.08748,1.08755,1.08741,1.08749,62,8,0
171,1675246320,1.08746,1.08758,1.08734,1.08758,49,6,0
172,1675246380,1.08758,1.08759,1.08747,1.08749,53,7,0
173,1675246440,1.08749,1.08763,1.08733,1.08733,53,6,0
174,1675246500,1.08733,1.08753,1.08732,1.08753,77,5,0
175,1675246560,1.08753,1.08761,1.08748,1.08752,78,6,0
176,1675246620,1.08752,1.08753,1.08738,1.08738,42,7,0
177,1675246680,1.08738,1.08759,1.08738,1.08758,81,6,0
178,1675246740,1.08758,1.08782,1.08758,1.08768,68,6,0
179,1675246800,1.08767,1.08772,1.08727,1.08732,83,7,0
180,1675246860,1.08732,1.08748,1.08698,1.08698,90,5,0
181,1675246920,1.08699,1.08713,1.08691,1.08703,87,1,0
182,1675246980,1.08703,1.08742,1.08698,1.08742,67,3,0
183,1675247040,1.08745,1.08775,1.08742,1.08772,66,5,0
184,1675247100,1.08772,1.08785,1.08756,1.08758,87,1,0
185,1675247160,1.08758,1.08789,1.08754,1.08781,64,6,0
186,1675247220,1.08781,1.08781,1.08745,1.08745,52,6,0
187,1675247280,1.08745,1.08774,1.08745,1.08774,47,6,0
188,1675247340,1.08774,1.08784,1.0877,1.08784,31,9,0
189,1675247400,1.08784,1.08794,1.08781,1.08784,43,7,0
190,1675247460,1.08784,1.08804,1.08784,1.08801,65,7,0
191,1675247520,1.08801,1.08823,1.08797,1.0882,73,6,0
192,1675247580,1.0882,1.08833,1.08802,1.08808,89,7,0
193,1675247640,1.08808,1.08809,1.08803,1.08807,55,5,0
194,1675247700,1.08808,1.08824,1.08803,1.08814,58,3,0
195,1675247760,1.08814,1.08814,1.08801,1.08804,49,6,0
196,1675247820,1.08804,1.08815,1.08799,1.08815,59,4,0
197,1675247880,1.08815,1.08849,1.08814,1.08835,90,0,0
198,1675247940,1.08834,1.08834,1.08821,1.08826,62,7,0
199,1675248000,1.08826,1.08861,1.08825,1.08858,49,3,0
200,1675248060,1.08858,1.08877,1.08828,1.08828,101,6,0
201,1675248120,1.08828,1.08844,1.08823,1.08824,110,6,0
202,1675248180,1.08824,1.08861,1.08823,1.08855,64,2,0
203,1675248240,1.08855,1.08855,1.08829,1.0883,64,6,0
204,1675248300,1.0883,1.08845,1.08821,1.08843,87,0,0
205,1675248360,1.08843,1.0885,1.0883,1.08845,80,2,0
206,1675248420,1.08847,1.08858,1.0883099999999999,1.08834,76,6,0
207,1675248480,1.08834,1.08838,1.08826,1.08834,70,6,0
208,1675248540,1.08834,1.08853,1.08825,1.08845,92,5,0
209,1675248600,1.08845,1.08849,1.08825,1.0883,80,8,0
210,1675248660,1.0883,1.08849,1.08825,1.08846,54,7,0
211,1675248720,1.08846,1.08856,1.08842,1.0884800000000001,54,7,0
212,1675248780,1.08845,1.08868,1.08845,1.08863,53,7,0
213,1675248840,1.08868,1.0887,1.08847,1.0886,53,7,0
214,1675248900,1.0886,1.08864,1.0885,1.08852,65,5,0
215,1675248960,1.08852,1.08878,1.0885,1.08873,81,7,0
216,1675249020,1.08873,1.08878,1.08867,1.08878,44,8,0
217,1675249080,1.08878,1.08878,1.08867,1.08875,63,8,0
218,1675249140,1.08875,1.08879,1.08868,1.08869,49,9,0
219,1675249200,1.08869,1.08879,1.08858,1.08858,72,6,0
220,1675249260,1.08854,1.08858,1.08844,1.08846,75,6,0
221,1675249320,1.08845,1.08862,1.08833,1.08862,97,5,0
222,1675249380,1.08862,1.08862,1.08837,1.08843,84,0,0
223,1675249440,1.08843,1.08844,1.08798,1.08799,92,4,0
224,1675249500,1.08799,1.0882,1.08794,1.08812,57,5,0
225,1675249560,1.08812,1.08816,1.08792,1.08794,74,5,0
226,1675249620,1.08794,1.0881,1.08792,1.08804,74,5,0
227,1675249680,1.08804,1.08817,1.08796,1.08814,58,6,0
228,1675249740,1.08814,1.08829,1.08812,1.08816,68,6,0
229,1675249800,1.08816,1.08824,1.08809,1.08821,66,7,0
230,1675249860,1.08821,1.08839,1.0882,1.08836,48,7,0
231,1675249920,1.08835,1.08839,1.08816,1.08821,57,6,0
232,1675249980,1.0882,1.08834,1.08817,1.08833,53,6,0
233,1675250040,1.08833,1.08843,1.08827,1.08836,69,6,0
234,1675250100,1.08836,1.0884,1.0883,1.0883099999999999,52,6,0
235,1675250160,1.0883099999999999,1.08832,1.08817,1.08821,63,8,0
236,1675250220,1.08821,1.08833,1.08815,1.0882,91,5,0
237,1675250280,1.08821,1.08826,1.08816,1.08821,56,6,0
238,1675250340,1.0882,1.08823,1.08802,1.08816,68,6,0
239,1675250400,1.08816,1.08823,1.08811,1.08813,71,6,0
240,1675250460,1.08815,1.08821,1.08804,1.08814,55,7,0
241,1675250520,1.08814,1.08816,1.0881,1.08813,44,7,0
242,1675250580,1.08817,1.08822,1.08812,1.08814,40,8,0
243,1675250640,1.08814,1.08821,1.08813,1.08816,32,7,0
244,1675250700,1.08817,1.08823,1.08812,1.08815,41,8,0
245,1675250760,1.08815,1.08835,1.08814,1.08826,50,7,0
246,1675250820,1.08826,1.08826,1.08809,1.0881,52,3,0
247,1675250880,1.08811,1.08826,1.08809,1.08817,50,7,0
248,1675250940,1.08817,1.0883,1.08816,1.08821,39,8,0
249,1675251000,1.08822,1.08826,1.08811,1.08812,46,7,0
250,1675251060,1.08812,1.08814,1.08786,1.08786,52,3,0
251,1675251120,1.08786,1.08793,1.0878,1.08793,60,6,0
252,1675251180,1.08793,1.08798,1.0878,1.08791,58,8,0
253,1675251240,1.08791,1.08796,1.08784,1.0879,57,5,0
254,1675251300,1.08793,1.08805,1.08792,1.08795,42,7,0
255,1675251360,1.08795,1.0882,1.08784,1.0882,57,5,0
256,1675251420,1.08821,1.08842,1.0882,1.08836,42,7,0
257,1675251480,1.08839,1.08857,1.08833,1.08856,55,6,0
258,1675251540,1.08856,1.08858,1.08834,1.0884,53,7,0
259,1675251600,1.0884,1.08857,1.08825,1.08852,64,4,0
260,1675251660,1.08851,1.08856,1.0884,1.08856,44,7,0
261,1675251720,1.08856,1.08861,1.08849,1.08853,32,8,0
262,1675251780,1.08853,1.08853,1.08841,1.08841,46,8,0
263,1675251840,1.08841,1.08843,1.08835,1.08838,37,8,0
264,1675251900,1.08838,1.08853,1.08837,1.0885,31,9,0
265,1675251960,1.0885,1.08851,1.0883,1.0884,44,8,0
266,1675252020,1.0884,1.08852,1.08833,1.0885,51,8,0
267,1675252080,1.0885,1.08866,1.08846,1.08862,33,7,0
268,1675252140,1.08862,1.08875,1.08854,1.08861,42,5,0
269,1675252200,1.08861,1.08873,1.0885,1.08854,57,5,0
270,1675252260,1.08855,1.08865,1.08849,1.0885,60,7,0
271,1675252320,1.0884800000000001,1.08851,1.08841,1.0884800000000001,38,7,0
272,1675252380,1.08847,1.08853,1.08841,1.08849,40,7,0
273,1675252440,1.0885,1.08853,1.08835,1.08836,35,6,0
274,1675252500,1.08836,1.08846,1.08836,1.0884,49,8,0
275,1675252560,1.08841,1.08845,1.08839,1.08841,34,9,0
276,1675252620,1.08841,1.08841,1.08812,1.08812,37,7,0
277,1675252680,1.08811,1.08821,1.08805,1.08807,30,8,0
278,1675252740,1.08803,1.08835,1.08797,1.0883099999999999,106,7,0
279,1675252800,1.0883099999999999,1.08866,1.0879,1.0885,222,0,0
280,1675252860,1.0885,1.0887,1.08845,1.08862,116,5,0
281,1675252920,1.08862,1.08882,1.08839,1.08841,73,2,0
282,1675252980,1.08841,1.08841,1.08822,1.0883,39,7,0
283,1675253040,1.0883,1.08845,1.0883,1.08838,58,7,0
284,1675253100,1.08838,1.08846,1.08832,1.08832,41,9,0
285,1675253160,1.08836,1.08838,1.08822,1.08829,79,5,0
286,1675253220,1.0883099999999999,1.08851,1.08827,1.08844,70,4,0
287,1675253280,1.08844,1.08849,1.08828,1.08849,56,8,0
288,1675253340,1.08849,1.08851,1.08842,1.08849,49,7,0
289,1675253400,1.08849,1.0889,1.08849,1.08889,48,6,0
290,1675253460,1.08889,1.08889,1.08865,1.0888,39,8,0
291,1675253520,1.0888,1.08883,1.0886,1.08866,72,6,0
292,1675253580,1.08867,1.08874,1.08855,1.08872,55,5,0
293,1675253640,1.08872,1.08888,1.08853,1.08854,72,1,0
294,1675253700,1.08854,1.08864,1.08847,1.08854,41,7,0
295,1675253760,1.08854,1.08854,1.08836,1.0884,55,6,0
296,1675253820,1.0884,1.08844,1.08828,1.08843,50,6,0
297,1675253880,1.08843,1.08844,1.08834,1.0884,36,8,0
298,1675253940,1.0884,1.0884,1.08832,1.08833,31,8,0
299,1675254000,1.08833,1.08838,1.08826,1.08827,45,5,0
300,1675254060,1.08827,1.08828,1.08807,1.08809,65,6,0
301,1675254120,1.08809,1.0881,1.08805,1.08805,28,6,0
302,1675254180,1.08812,1.0882,1.08809,1.08818,34,5,0
303,1675254240,1.08818,1.08829,1.08816,1.08827,44,8,0
304,1675254300,1.08827,1.08863,1.08827,1.08861,59,6,0
305,1675254360,1.08861,1.08864,1.08859,1.08864,17,8,0
306,1675254420,1.08864,1.08873,1.08861,1.08865,42,6,0
307,1675254480,1.08865,1.08877,1.0886,1.08869,51,6,0
308,1675254540,1.08865,1.08865,1.08843,1.08851,59,7,0
309,1675254600,1.08851,1.08869,1.0885,1.08864,51,5,0
310,1675254660,1.08864,1.08872,1.08862,1.0887,26,7,0
311,1675254720,1.08873,1.08874,1.08865,1.0887,14,9,0
312,1675254780,1.0887,1.08881,1.0887,1.08879,23,5,0
313,1675254840,1.08878,1.08879,1.0886,1.08861,28,7,0
314,1675254900,1.0886,1.08863,1.08855,1.08861,25,5,0
315,1675254960,1.08861,1.08881,1.08861,1.0887,51,8,0
316,1675255020,1.08873,1.08875,1.08865,1.08871,42,7,0
317,1675255080,1.0887,1.08871,1.08849,1.08854,64,7,0
318,1675255140,1.08854,1.08864,1.08846,1.08863,43,7,0
319,1675255200,1.08863,1.08884,1.0886,1.08884,39,7,0
320,1675255260,1.08884,1.08891,1.08881,1.08885,32,5,0
321,1675255320,1.08885,1.0889,1.08885,1.08886,25,8,0
322,1675255380,1.08886,1.08886,1.08869,1.0887,63,8,0
323,1675255440,1.0887,1.08875,1.08867,1.08874,33,7,0
324,1675255500,1.08874,1.08894,1.08872,1.08888,35,6,0
325,1675255560,1.08887,1.08888,1.08874,1.08874,55,6,0
326,1675255620,1.08874,1.08874,1.08845,1.08854,37,0,0
327,1675255680,1.08854,1.08864,1.08854,1.08861,14,6,0
328,1675255740,1.0886,1.08862,1.08849,1.08851,30,5,0
329,1675255800,1.08851,1.08879,1.08851,1.08879,45,7,0
330,1675255860,1.08879,1.08901,1.08879,1.08895,44,8,0
331,1675255920,1.08895,1.0893,1.08895,1.08928,50,5,0
332,1675255980,1.08928,1.08932,1.08911,1.08911,48,6,0
333,1675256040,1.08911,1.08919,1.08908,1.08911,36,8,0
334,1675256100,1.08911,1.08911,1.08893,1.08895,35,7,0
335,1675256160,1.08895,1.08895,1.0888,1.08886,42,4,0
336,1675256220,1.08886,1.08901,1.08885,1.089,34,8,0
